회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,구매횟수,최근구매일자,총구매금액,연령대
1000012800,정상회원,수지구-풍덕천동,여,58.0,미신청,.,normal,1.0,2022-06-13,7658.0,50대
1000103744,정상회원,처인구-고림동,여,34.0,미신청,.,normal,6.0,2022-10-12,36948.0,30대
1000122304,정상회원,광주-기타,여,38.0,미신청,.,normal,22.0,2022-10-30,142831.0,30대
1000163136,정상회원,수지구-동천동,여,73.0,미신청,.,normal,8.0,2022-10-30,138892.0,70대
1000281920,정상회원,수지구-풍덕천동,여,42.0,신청,.,normal,45.0,2022-10-05,592543.0,40대
1000330176,정상회원,수지구-신봉동,여,64.0,미신청,.,normal,25.0,2022-10-21,317217.0,60대
1000491648,정상회원,수지구-동천동,여,37.0,미신청,.,normal,55.0,2022-10-04,663152.0,30대
1000508352,정상회원,기흥구-상하동,여,35.0,미신청,.,normal,1.0,2022-10-18,7083.0,30대
1000565888,정상회원,수지구-상현동,여,52.0,미신청,.,normal,7.0,2022-08-12,49296.0,50대
1000577024,정상회원,기타-기타,여,47.0,미신청,.,normal,8.0,2022-06-03,218435.0,40대
1000796032,정상회원,수지구-동천동,여,40.0,미신청,.,normal,10.0,2022-10-18,113621.0,40대
1000807168,정상회원,수지구-동천동,여,39.0,미신청,.,normal,52.0,2022-10-16,305634.0,30대
1001042880,정상회원,수지구-신봉동,여,42.0,미신청,.,normal,3.0,2022-05-03,10721.0,40대
1001111552,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,56.0,2022-10-28,831282.0,40대
100134912,정상회원,수지구-성복동,여,49.0,미신청,.,normal,3.0,2022-09-21,21709.0,40대
1001440064,정상회원,수지구-동천동,여,50.0,미신청,.,normal,37.0,2022-10-25,298551.0,50대
1001592256,정상회원,수지구-성복동,여,40.0,미신청,.,normal,1.0,2022-05-06,38288.0,40대
1001595968,정상회원,수지구-동천동,여,50.0,미신청,.,normal,4.0,2022-08-16,56475.0,50대
1001677632,정상회원,수지구-동천동,여,78.0,미신청,.,normal,1.0,2022-05-17,2967.0,70대
1001707328,정상회원,수지구-동천동,여,42.0,미신청,.,normal,2.0,2022-09-30,13209.0,40대
1001712896,정상회원,수지구-신봉동,여,49.0,미신청,.,normal,4.0,2022-09-02,37523.0,40대
1001714752,정상회원,수지구-동천동,여,52.0,미신청,.,normal,5.0,2022-06-08,110844.0,50대
1001744448,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,2.0,2022-02-23,36565.0,40대
1001750016,정상회원,분당구-백현동,여,44.0,미신청,.,normal,1.0,2022-04-30,3637.0,40대
1001776000,정상회원,기타-기타,남,57.0,미신청,.,normal,10.0,2022-10-22,187413.0,50대
1001982016,정상회원,수지구-상현동,여,52.0,미신청,.,normal,4.0,2022-08-16,22016.0,50대
1002102656,정상회원,수지구-동천동,여,59.0,신청,.,normal,55.0,2022-10-25,494971.0,50대
1002106368,정상회원,분당구-판교동,여,40.0,미신청,.,normal,26.0,2022-10-17,363546.0,40대
1002115648,정상회원,수지구-풍덕천동,여,61.0,미신청,.,normal,4.0,2022-06-17,35416.0,60대
1002182464,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,4.0,2022-10-16,26993.0,30대
100224000,정상회원,수지구-상현동,여,63.0,미신청,.,normal,96.0,2022-10-26,928969.0,60대
100225856,정상회원,수지구-풍덕천동,여,48.0,미신청,.,normal,3.0,2022-04-01,27185.0,40대
1003019520,정상회원,기타-기타,여,72.0,미신청,.,normal,8.0,2022-08-24,80022.0,70대
1003088192,정상회원,기타-기타,여,66.0,미신청,.,normal,2.0,2022-09-07,13209.0,60대
1004585984,정상회원,수지구-신봉동,여,61.0,미신청,.,normal,9.0,2022-10-22,193547.0,60대
1004617536,정상회원,수지구-죽전동,여,41.0,미신청,수신,normal,2.0,2022-05-22,27951.0,40대
1004699200,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,2.0,2022-05-24,23930.0,40대
1004825408,정상회원,수지구-상현동,여,40.0,미신청,.,normal,88.0,2022-10-23,1209341.0,40대
1004836544,정상회원,수지구-동천동,여,40.0,미신청,.,normal,28.0,2022-10-24,317985.0,40대
1005029568,정상회원,수지구-성복동,여,55.0,미신청,.,normal,13.0,2022-09-19,150951.0,50대
1005059264,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,166.0,2022-10-30,1471084.0,30대
1005142784,정상회원,수지구-동천동,여,65.0,미신청,.,normal,22.0,2022-10-12,220915.0,60대
1005174336,정상회원,수지구-성복동,여,37.0,미신청,.,normal,1.0,2022-02-28,125968.0,30대
1005230016,정상회원,수지구-풍덕천동,여,42.0,미신청,.,normal,5.0,2022-02-10,24275.0,40대
1005389632,정상회원,수지구-동천동,여,54.0,신청,.,normal,46.0,2022-09-28,522272.0,50대
1005393344,정상회원,수지구-죽전동,여,42.0,미신청,.,normal,3.0,2022-02-09,25270.0,40대
1005430464,정상회원,수지구-동천동,여,57.0,미신청,.,normal,1.0,2022-03-08,19144.0,50대
100548800,정상회원,수지구-동천동,여,53.0,미신청,.,normal,4.0,2022-06-27,98209.0,50대
1005500992,정상회원,수지구-동천동,여,37.0,미신청,.,normal,3.0,2022-07-22,63558.0,30대
1005616064,정상회원,수지구-상현동,여,73.0,미신청,.,normal,3.0,2022-07-12,26705.0,70대
1005669888,정상회원,수지구-상현동,여,63.0,미신청,수신,normal,2.0,2022-05-18,57433.0,60대
1005729280,정상회원,분당구-구미동,남,50.0,미신청,.,normal,11.0,2022-08-26,36564.0,50대
1005732992,정상회원,수지구-풍덕천동,여,44.0,미신청,.,normal,5.0,2022-08-11,62218.0,40대
1005924160,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,21.0,2022-10-15,191635.0,40대
1005942720,정상회원,수지구-동천동,여,46.0,미신청,.,normal,1.0,2022-10-15,29865.0,40대
1005976128,정상회원,수지구-동천동,여,40.0,미신청,.,normal,20.0,2022-10-30,149132.0,40대
1005983552,정상회원,기흥구-동백동,여,43.0,미신청,.,normal,1.0,2022-07-13,6318.0,40대
1006050368,정상회원,수지구-동천동,여,66.0,미신청,.,normal,7.0,2022-04-22,67003.0,60대
1006132032,정상회원,수지구-신봉동,여,64.0,미신청,.,normal,8.0,2022-05-31,39820.0,60대
1006167296,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,49.0,2022-10-19,496730.0,40대
1006213696,정상회원,수원 영통구-기타,여,45.0,미신청,.,normal,25.0,2022-10-20,393889.0,40대
1006302784,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,4.0,2022-09-15,54178.0,40대
1006313920,정상회원,수지구-동천동,여,40.0,미신청,.,normal,1.0,2022-03-25,8998.0,40대
1006319488,정상회원,수지구-풍덕천동,여,46.0,신청,.,normal,55.0,2022-10-27,377240.0,40대
1006334336,정상회원,수지구-상현동,여,39.0,미신청,.,normal,10.0,2022-10-14,53316.0,30대
1006349184,정상회원,수지구-풍덕천동,여,41.0,미신청,.,normal,14.0,2022-10-18,123771.0,40대
1006436416,정상회원,수지구-동천동,여,45.0,미신청,.,normal,2.0,2022-03-22,15507.0,40대
1006532928,정상회원,수지구-신봉동,여,37.0,미신청,.,normal,1.0,2022-07-12,5552.0,30대
1006614592,정상회원,수지구-동천동,여,38.0,미신청,.,normal,38.0,2022-09-09,411124.0,30대
1006670272,정상회원,기타-기타,여,72.0,미신청,.,normal,41.0,2022-09-30,146357.0,70대
1006712960,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,14.0,2022-10-18,117817.0,40대
1006891136,정상회원,수지구-동천동,여,47.0,미신청,.,normal,27.0,2022-10-16,261986.0,40대
1006917120,정상회원,수지구-풍덕천동,여,63.0,미신청,.,normal,44.0,2022-10-30,456491.0,60대
1006998784,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,14.0,2022-10-14,100889.0,30대
1007015488,정상회원,기흥구-보정동,여,54.0,신청,.,normal,37.0,2022-10-30,551542.0,50대
1007212224,정상회원,수지구-풍덕천동,여,34.0,미신청,.,normal,87.0,2022-10-26,1193969.0,30대
1007219648,정상회원,수지구-성복동,여,51.0,미신청,.,normal,1.0,2022-09-21,5935.0,50대
1007247488,정상회원,수지구-상현동,여,39.0,미신청,.,normal,6.0,2022-10-17,113238.0,30대
1007314304,정상회원,수지구-동천동,여,38.0,신청,.,normal,33.0,2022-09-27,397528.0,30대
1007576000,정상회원,수지구-상현동,여,42.0,미신청,.,normal,2.0,2022-09-09,10051.0,40대
1007739328,정상회원,수지구-동천동,여,56.0,미신청,.,normal,1.0,2022-04-03,23739.0,50대
1007817280,정상회원,수지구-풍덕천동,여,48.0,미신청,수신,normal,159.0,2022-10-30,1501914.0,40대
1007820992,정상회원,수지구-풍덕천동,여,48.0,미신청,수신,normal,91.0,2022-10-26,804440.0,40대
1007830272,정상회원,수지구-신봉동,여,56.0,미신청,.,normal,19.0,2022-10-28,123000.0,50대
1007880384,정상회원,수지구-상현동,여,41.0,미신청,.,normal,26.0,2022-10-17,234326.0,40대
1008056704,정상회원,수지구-상현동,여,42.0,미신청,.,normal,6.0,2022-02-13,66142.0,40대
1008080832,정상회원,수지구-동천동,여,63.0,미신청,.,normal,3.0,2022-04-20,29290.0,60대
1008082688,정상회원,수지구-동천동,여,46.0,미신청,.,normal,2.0,2022-08-26,108356.0,40대
1008116096,정상회원,수지구-상현동,여,62.0,미신청,.,normal,11.0,2022-10-13,97350.0,60대
1008201472,정상회원,수지구-풍덕천동,여,48.0,미신청,.,normal,1.0,2022-06-07,9572.0,40대
1008335104,정상회원,분당구-구미동,여,51.0,미신청,.,normal,2.0,2022-03-12,67005.0,50대
1008370368,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,16.0,2022-10-23,91608.0,50대
1008511424,정상회원,수지구-동천동,여,46.0,미신청,수신,normal,25.0,2022-08-27,217477.0,40대
1008613504,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,1.0,2022-09-18,48818.0,30대
1008698880,정상회원,수원 영통구-기타,여,40.0,미신청,.,normal,6.0,2022-09-13,32641.0,40대
1008719296,정상회원,수원 영통구-기타,여,44.0,미신청,.,normal,1.0,2022-04-03,24122.0,40대
1008748992,정상회원,수지구-동천동,여,52.0,미신청,.,normal,1.0,2022-01-24,10912.0,50대
1008800960,정상회원,수지구-동천동,여,49.0,미신청,.,normal,9.0,2022-10-18,44510.0,40대
1008955008,정상회원,수지구-성복동,여,42.0,신청,.,normal,81.0,2022-10-28,433997.0,40대
1009040384,정상회원,수지구-동천동,여,60.0,미신청,.,normal,12.0,2022-10-30,454920.0,60대
1009066368,정상회원,기흥구-보정동,여,52.0,미신청,.,normal,18.0,2022-10-29,291471.0,50대
100932992,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,26.0,2022-10-07,247534.0,50대
1009355904,정상회원,수지구-신봉동,여,37.0,미신청,수신,normal,1.0,2022-05-30,14741.0,30대
1009381888,정상회원,수지구-풍덕천동,여,44.0,미신청,.,normal,1.0,2022-10-10,7083.0,40대
1009406016,정상회원,기흥구-청덕동,남,51.0,미신청,.,normal,6.0,2022-10-04,38958.0,50대
1009480256,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,3.0,2022-06-15,45754.0,50대
